name,comment,rate,score
绿里奇迹,105565,194,8.7
末路狂花,103568,195,8.7
勇闯夺命岛,140773,196,8.5
哪吒闹海,79065,197,8.8
忠犬八公物语,57037,198,9
终结者2：审判日,139595,199,8.5
迁徙的鸟,51471,200,9.1
卡萨布兰卡,123476,201,8.6
荒野生存,125923,202,8.6
这个男人来自地球,177158,203,8.5
源代码,404584,204,8.3
新龙门客栈,181009,205,8.5
变脸,211965,206,8.4
黑客帝国3：矩阵革命,153497,207,8.5
燕尾蝶,107182,208,8.6
城市之光,43104,209,9.2
黄金三镖客,50727,210,9.1
E.T. 外星人,150929,211,8.5
发条橙,184510,212,8.4
英国病人,172634,213,8.4
美国丽人,183509,214,8.4
无耻混蛋,220944,215,8.4
模仿游戏,250911,216,8.5
头脑特工队,221018,217,8.7
叫我第一名,107578,218,8.6
初恋这件小事,453316,219,8.3
穆赫兰道,232068,220,8.3
非常嫌疑犯,114853,221,8.6
勇士,86649,222,8.9
房间,147423,223,8.8
上帝也疯狂,94986,224,8.6
爱在午夜降临前,113486,225,8.8
无敌破坏王,181816,226,8.6
蓝色大门,270277,227,8.3
国王的演讲,334687,228,8.3
疯狂的石头,307705,229,8.2
血钻,129019,230,8.5
爱·回家,46707,231,9
枪火,98207,232,8.6
大卫·戈尔的一生,90408,233,8.6
一个叫欧维的男人决定去死,110067,234,8.7
千钧一发,83719,235,8.7
遗愿清单,125008,236,8.5
麦兜故事,125852,237,8.5
步履不停,67120,238,8.8
暖暖内含光,142469,239,8.4
曾经,200325,240,8.3
荒岛余生,130930,241,8.5
彗星来的那一夜,169676,242,8.4
我爱你,55389,243,9
无人知晓,50787,244,9
蝴蝶,94080,245,8.6
月球,141096,246,8.5
巴黎淘气帮,103318,247,8.6
与狼共舞,55213,248,8.9
偷拐抢骗,114556,249,8.5
寿司之神,81286,250,8.8
